model_id,architecture,batch_size,learning_rate,max_epochs,use_initial_bias,use_label_smoothing,use_weighted_loss,epochs_trained,train_loss,train_tp,train_fp,train_tn,train_fn,train_accuracy,train_precision,train_recall,train_auc,train_prc,val_loss,val_tp,val_fp,val_tn,val_fn,val_accuracy,val_precision,val_recall,val_auc,val_prc
0,[16],128,0.001,30,False,False,False,30,0.007288836408406496,1410.0,394.0,596905.0,1291.0,0.9971916675567627,0.7815964818000793,0.5220288634300232,0.9896255135536194,0.7189221978187561,0.007444597780704498,515.0,151.0,198903.0,431.0,0.9970899820327759,0.7732732892036438,0.5443974733352661,0.9871081113815308,0.7275362610816956
1,[16],128,0.001,50,False,False,False,24,0.007668835576623678,1582.0,544.0,596755.0,1119.0,0.9972283244132996,0.7441204190254211,0.5857089757919312,0.9909202456474304,0.7182452082633972,0.008152807131409645,575.0,214.0,198840.0,371.0,0.9970750212669373,0.7287706136703491,0.6078224182128906,0.9878342747688293,0.7079203128814697
2,[16],128,0.001,100,False,False,False,86,0.006840352434664965,1651.0,487.0,596812.0,1050.0,0.9974383115768433,0.7722170352935791,0.6112551093101501,0.9911236763000488,0.7515823841094971,0.00723454961553216,606.0,203.0,198851.0,340.0,0.997285008430481,0.7490729093551636,0.6405919790267944,0.9903302192687988,0.751911461353302
3,[16],128,1e-05,30,False,False,False,30,0.013028841465711594,0.0,0.0,597299.0,2701.0,0.9954983592033386,0.0,0.0,0.9892417192459106,0.5707937479019165,0.013578305952250957,0.0,0.0,199054.0,946.0,0.9952700138092041,0.0,0.0,0.9878906011581421,0.5756783485412598
4,[16],128,1e-05,50,False,False,False,50,0.011645087040960789,329.0,69.0,597230.0,2372.0,0.9959316849708557,0.8266331553459167,0.12180674076080322,0.988541305065155,0.57437664270401,0.01214736420661211,125.0,21.0,199033.0,821.0,0.9957900047302246,0.8561643958091736,0.1321353018283844,0.9877934455871582,0.580446720123291
5,[16],128,1e-05,100,False,False,False,40,0.013489955104887486,0.0,0.0,597299.0,2701.0,0.9954983592033386,0.0,0.0,0.9891054630279541,0.5749455094337463,0.014037336222827435,0.0,0.0,199054.0,946.0,0.9952700138092041,0.0,0.0,0.9892526865005493,0.5824142098426819
6,[16],128,1e-07,30,False,False,False,30,0.765948474407196,0.0,302752.0,294547.0,2701.0,0.49091166257858276,0.0,0.0,0.032764628529548645,0.0023017623461782932,0.7664438486099243,0.0,100831.0,98223.0,946.0,0.491115003824234,0.0,0.0,0.03324023634195328,0.0024191378615796566
7,[16],128,1e-07,50,False,False,False,11,0.42791420221328735,471.0,45284.0,552015.0,2230.0,0.9208099842071533,0.010293956845998764,0.1743798553943634,0.8829787969589233,0.01743656024336815,0.4277876913547516,153.0,14907.0,184147.0,793.0,0.921500027179718,0.010159362107515335,0.16173361241817474,0.8847807049751282,0.018508339300751686
8,[16],128,1e-07,100,False,False,False,23,0.6539550423622131,2681.0,220194.0,377105.0,20.0,0.6329766511917114,0.012029164470732212,0.9925953149795532,0.9752408266067505,0.2255536913871765,0.653771162033081,937.0,73272.0,125782.0,9.0,0.6335949897766113,0.01262650080025196,0.9904862642288208,0.9761824607849121,0.24049076437950134
9,[16],512,0.001,30,False,False,False,30,0.00733532477170229,1234.0,290.0,597009.0,1467.0,0.9970716834068298,0.8097112774848938,0.4568678140640259,0.990888774394989,0.719929039478302,0.007712331600487232,462.0,112.0,198942.0,484.0,0.9970200061798096,0.8048780560493469,0.4883720874786377,0.9869856834411621,0.7167282104492188
